Наименование услуги, Главное изображение, Длительность, Стоимость, Действующая скидка
Занятие с репетитором-носителем китайского языка,Китайский язык.jpg, 120 мин.,1950, нет
Индивидуальный урок немецкого языка с преподавателем-носителем языка,Немецкий язык.png, 110 мин.,1340, нет
Киноклуб китайского языка для студентов,киноклуб.jpg, 100 мин.,1990, нет
Индивидуальный онлайн-урок японского языка по Skype,online lessons.jpg, 4800 сек.,1000, 20%
Киноклуб испанского языка для студентов,киноклуб.jpg, 40 мин.,1050, 10%
Занятие с русскоязычным репетитором испанского языка,Испанский язык.jpg, 50 мин.,1450, 15%
Урок в группе итальянского языка для взрослых,Итальянский язык.jpg, 40 мин.,1290, нет
Интенсивный онлайн-курс французского языка для компаний по Skype,online lessons.jpg, 2400 сек., 1180, 10%
Индивидуальный урок французского языка с преподавателем-носителем языка,Французский язык.jpg, 2400 сек., 1410, 20%
Урок в группе французского языка для школьников,Французский язык.jpg, 6000 сек.,1970, нет
Занятие с репетитором-носителем английского языка,Английский язык.jpg, 6600 сек.,910, нет
Киноклуб французского языка для взрослых,киноклуб.jpg, 5400 сек.,1770, 10%
Киноклуб немецкого языка для взрослых,киноклуб.jpg, 100 мин.,1560, 10%
Урок в группе японского языка для школьников,Японский язык.jpg, 80 мин.,1300, 5%
Индивидуальный урок испанского языка с русскоязычным преподавателем,Испанский язык.jpg, 60 мин., 1790, 15%
Интенсивный онлайн-курс итальянского языка для компаний по Skype,online lessons.jpg, 4200 сек.,1230, 10%
Урок в группе японского языка для студентов,Японский язык.jpg, 3000 сек.,1860, нет
Интенсивный курс с преподавателем-носителем английского языка для компаний,for company.jpg, 110 мин.,1670, 10%
Киноклуб итальянского языка для студентов,киноклуб.jpg, 30 мин., 1760, нет
Урок в группе испанского языка для взрослых,Испанский язык.jpg, 1800 сек.,1730, 5%
Урок в группе испанского языка для студентов,Испанский язык.jpg, 100 мин., 1310, 20%
Интенсивный онлайн-курс испанского языка для компаний по Skype,online lessons.jpg, 120 мин., 1510, нет
Урок в группе английского языка для школьников,Английский язык.jpg, 6600 сек.,900, нет
Занятие с репетитором-носителем испанского языка,Испанский язык.jpg, 3000 сек.,1090, 5%
Интенсивный курс с преподавателем-носителем итальянского языка для компаний,for company.jpg, 2400 сек.,1190, 20%
Урок в группе китайского языка для студентов,Китайский язык.jpg, 2400 сек.,2000, 20%
Индивидуальный урок испанского языка с преподавателем-носителем языка,Испанский язык.jpg, 90 мин., 1200, 10%
Интенсивный онлайн-курс португальского языка для компаний по Skype,online lessons.jpg, 70 мин.,1610, 5%
Подготовка к экзамену ACT,Подготовка к экзамену ACT.png, 50 мин.,1440, нет
Урок в группе китайского языка для взрослых,Китайский язык.jpg, 4200 сек., 1730, 25%
Интенсивный онлайн-курс английского языка для компаний по Skype,online lessons.jpg, 3000 сек., 1160, нет
Подготовка к экзамену TOEFL,Подготовка к экзамену TOEFL.jpg, 6000 сек., 1070, 5%
Занятие с репетитором-носителем итальянского языка,Итальянский язык.jpg, 7200 сек., 1370, 5%
Урок в группе английского языка для взрослых,Английский язык.jpg, 3000 сек.,1010, 25%
Киноклуб английского языка для взрослых,киноклуб.jpg, 70 мин., 1250, 5%
Интенсивный курс с преподавателем-носителем французского языка для компаний,for company.jpg, 70 мин., 1630, 15%
Урок в группе испанского языка для школьников,Испанский язык.jpg, 7200 сек., 1910, нет
Подготовка к экзамену GRE,Подготовка к экзамену GRE.jpeg, 80 мин., 1300, 20%
Урок в группе английского языка для студентов,Английский язык.jpg, 4800 сек., 960, 25%
Занятие с русскоязычным репетитором японского языка,Японский язык.jpg, 2400 сек., 1260, 10%
Индивидуальный онлайн-урок немецкого языка по Skype,online lessons.jpg, 90 мин.,970, нет
Интенсивный курс японского языка с русскоязычным преподавателем для компаний,for company.jpg, 80 мин.,1500, нет
Киноклуб китайского языка для взрослых,киноклуб.jpg, 70 мин., 1800, 25%
Индивидуальный урок китайского языка с русскоязычным преподавателем,Китайский язык.jpg, 120 мин., 1860, 10%
Подготовка к экзамену GMAT,Подготовка к экзамену GMAT.png, 70 мин.,1150, 5%
Подготовка к экзамену IELTS,Подготовка к экзамену IELTS.jpg, 7200 сек.,1730, нет
Подготовка к экзамену SAT,Подготовка к экзамену SAT.png, 40 мин., 1560, нет
Урок в группе китайского языка для школьников,Китайский язык.jpg, 3000 сек., 1180, 15%
Киноклуб английского языка для студентов,киноклуб.jpg, 4800 сек.,980, нет
Киноклуб португальского языка для студентов,киноклуб.jpg, 1800 сек., 1170, 15%
Киноклуб китайского языка для детей,киноклуб.jpg, 100 мин.,1120, 10%
Урок в группе немецкого языка для школьников,Немецкий язык.png, 1800 сек.,1570, 15%
Индивидуальный онлайн-урок испанского языка по Skype,online lessons.jpg, 4200 сек.,1780, 5%
Урок в группе немецкого языка для взрослых,Немецкий язык.png, 60 мин., 930, 5%
Индивидуальный урок китайского языка с преподавателем-носителем языка,Китайский язык.jpg, 90 мин.,1480, 20%
Занятие с русскоязычным репетитором португальского языка,Португальский язык.jpg, 3000 сек., 1970, 10%
Интенсивный курс китайского языка с русскоязычным преподавателем для компаний,for company.jpg, 6600 сек.,1470, нет
Занятие с русскоязычным репетитором немецкого языка,Немецкий язык.png, 1800 сек.,1420, нет
Киноклуб английского языка для детей,киноклуб.jpg, 2400 сек.,1280, 5%
Занятие с репетитором-носителем немецкого языка,Немецкий язык.png, 7200 сек.,1120, нет
Индивидуальный онлайн-урок китайского языка по Skype,online lessons.jpg, 4200 сек., 1410, нет
Индивидуальный урок английского языка с преподавателем-носителем языка,Английский язык.jpg, 7200 сек.,1300, нет
Интенсивный курс с преподавателем-носителем немецкого языка для компаний,for company.jpg, 120 мин., 1180, 20%
Интенсивный онлайн-курс немецкого языка для компаний по Skype,online lessons.jpg, 4200 сек., 1840, 10%
Урок в группе итальянского языка для школьников,Итальянский язык.jpg, 6000 сек., 1410, 15%
Индивидуальный урок итальянского языка с русскоязычным преподавателем,Итальянский язык.jpg, 30 мин.,1330, 20%
Интенсивный онлайн-курс китайского языка для компаний по Skype,online lessons.jpg, 120 мин.,1760, 15%
Занятие с русскоязычным репетитором французского языка,Французский язык.jpg, 6000 сек.,1870, 20%
Индивидуальный урок немецкого языка с русскоязычным преподавателем,Немецкий язык.png, 1800 сек.,990, 5%
Индивидуальный онлайн-урок английского языка по Skype,online lessons.jpg, 6000 сек., 1880, нет
Индивидуальный урок французского языка с русскоязычным преподавателем,Французский язык.jpg, 4200 сек.,1390, нет
Интенсивный курс португальского языка с русскоязычным преподавателем для компаний,for company.jpg, 60 мин.,2010, 25%
Индивидуальный онлайн-урок французского языка по Skype,online lessons.jpg, 7200 сек., 2010, нет
Интенсивный курс английского языка с русскоязычным преподавателем для компаний,for company.jpg, 4800 сек.,1210, нет
Урок в группе французского языка для взрослых,Французский язык.jpg, 120 мин.,960, 15%
Подготовка к экзамену IELTS Speaking Club,Подготовка к экзамену IELTS.jpg, 90 мин.,1430, 20%
Киноклуб итальянского языка для детей,киноклуб.jpg, 70 мин., 1480, нет
Урок в группе итальянского языка для студентов,Итальянский язык.jpg, 110 мин., 1020, нет
Индивидуальный урок итальянского языка с преподавателем-носителем языка,Итальянский язык.jpg, 80 мин.,1690, нет
Киноклуб немецкого языка для детей,киноклуб.jpg, 120 мин.,1670, 5%
Киноклуб итальянского языка для взрослых,киноклуб.jpg, 110 мин.,1760, нет
Киноклуб португальского языка для взрослых,киноклуб.jpg, 1800 сек.,950, 5%
Киноклуб португальского языка для детей,киноклуб.jpg, 90 мин.,1710, 15%
Киноклуб французского языка для детей,киноклуб.jpg, 90 мин., 1600, 10%
Урок в группе японского языка для взрослых,Японский язык.jpg, 80 мин., 1420, 5%
Интенсивный курс французского языка с русскоязычным преподавателем для компаний,for company.jpg, 40 мин.,1940, нет
